Game,Login,NickName,Rank,Max,Record,Mode,CPs,MapCPs,Challenge,Envir,RecordDate,MapUID
TMU,thuck,¬ĸитѕ×Kaballั,17,30,12.84,TAttack,4,4/4,Very Short *79*,Stadium,2009-12-21 13:22:16,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,narcorek,LeG〢Narcor »Яםח«,2,30,7.6,TAttack,2,2/2,Very Short *92*,Stadium,2025-09-16 00:35:10,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,paulmar.35,הѕс ¬ Paulmar.*,1,30,7.55,TAttack,2,2/2,Very Short *92*,Stadium,2025-08-30 19:37:00,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,nubmeister,הѕс ¬ Ѕтерн,11,30,7.66,TAttack,2,2/2,Very Short *92*,Stadium,2025-08-30 18:38:51,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,s_r_w_ts0n,הѕс ¬ ωατѕοи <3,4,30,7.61,TAttack,2,2/2,Very Short *92*,Stadium,2025-08-30 11:01:22,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,stippah,הѕс ¬ kidcasi,9,30,7.65,TAttack,2,2/2,Very Short *92*,Stadium,2025-08-30 11:01:22,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,alstorm125,הѕс ¬ Alstorm.Law,10,30,7.65,TAttack,2,2/2,Very Short *92*,Stadium,2025-08-30 11:01:22,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,fish___chips,הѕс ¬ Ѕоғт.*,30,30,7.7,TAttack,2,2/2,Very Short *92*,Stadium,2025-08-30 11:01:22,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,vin78,הѕс¬ chinese are watching,3,30,7.61,TAttack,2,2/2,Very Short *92*,Stadium,2024-08-18 10:02:33,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,yohanm77,הѕс ¬ wosile,5,30,7.62,TAttack,2,2/2,Very Short *92*,Stadium,2024-08-18 10:02:33,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,moon-ra,ввם〢Andras,29,30,7.7,TAttack,2,2/2,Very Short *92*,Stadium,2018-02-23 17:03:08,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,shanral,шסכ ŜмĜяєєи,22,30,7.69,TAttack,2,2/2,Very Short *92*,Stadium,2018-02-17 19:57:33,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,francy_97,LeG〢Zeroॆ.!,15,30,7.67,TAttack,2,2/2,Very Short *92*,Stadium,2017-12-31 14:04:05,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,hlk-,hLk-,28,30,7.7,TAttack,2,2/2,Very Short *92*,Stadium,2017-04-24 04:46:06,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,le_monstre____,monstre,27,30,7.7,TAttack,2,2/2,Very Short *92*,Stadium,2017-03-06 21:30:21,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,loric-brosteaux,¬ĸитѕ×Kenseily.ғ,19,30,7.68,TAttack,2,2/2,Very Short *92*,Stadium,2016-12-14 16:20:54,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,stephaneneves,הѕс ¬ Ѕтерн,18,30,7.68,TAttack,2,2/2,Very Short *92*,Stadium,2016-02-08 22:29:58,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,lespezet,Psyko.,26,30,7.7,TAttack,2,2/2,Very Short *92*,Stadium,2016-02-08 22:29:58,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,gekooo0,ךוו.Geko | мр,17,30,7.68,TAttack,2,2/2,Very Short *92*,Stadium,2015-08-05 13:42:34,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,julianwa,sigN｜Skora,7,30,7.64,TAttack,2,2/2,Very Short *92*,Stadium,2015-03-03 01:33:04,WAzN5NXTzkJLeqcVwFsO0aBiNv1
